item,expSet,grammaticallyCorrect,condition,socStat,context,word1,word2,word3,word4,word5,list,stimuli
1,WP2,no,j,low,Der Rau&szlig;chmei&szlig;er blaffte zum Jungen:,Der,Trinker,diffamieren,den,R&uuml;pel.,8,Critical
2,WP2,yes,i,low,Der Knasti feixte auf dem Pausenhof:,Der,Skinhead,z&uuml;chtigte,den,Str&auml;fling.,8,Critical
3,WP2,no,h,low,Der Kla&szlig;enclown st&auml;nkerte in der SMS:,Der,Sportlehrer,triezen,den,Wettl&auml;ufer.,8,Critical
4,WP2,yes,g,low,Der Fatzke hetzte in der BILD:,Der,F&ouml;rderer,kraulte,den,Bildhauer.,8,Critical
5,WP2,no,j,high,Der Zeitungsjunge tratschte den neusten Klatsch:,Der,Bischof,r&uuml;ffeln,den,Herrscher.,8,Critical
6,WP2,yes,i,high,Der B&uuml;rgermeister proklamierte im Amtsblatt:,Der,Sheriff,&uuml;bert&ouml;lpelte,den,Gauner.,8,Critical
7,WP2,no,h,high,Der Historiker paraphrasierte in dem Traktat:,Der,Bandenchef,&uuml;bervorteilen,den,Raubm&ouml;rder.,8,Critical
8,WP2,yes,g,high,Die Juroren verlasen ihr Votum:,Der,Sporttaucher,narrte,den,Brustschwimmer.,8,Critical
9,WP2,no,j,low,Der Lausbub patzte ins Tagebuch:,Der,Reiseleiter,ersp&auml;hen,den,Abenteurer.,8,Critical
10,WP2,yes,i,low,Der Nichtsnutz kr&auml;chzte lauthals:,Der,Wagenlenker,herzte,den,Autoschlo&szlig;er.,8,Critical
11,WP2,no,h,low,Die Kumpels br&uuml;llten in der Kneipe:,Der,B&auml;cker,beschauen,den,H&auml;ndler.,8,Critical
12,WP2,yes,g,low,Der Hallodri l&auml;sterte in seiner Freizeit:,Der,Obdachlose,verp&ouml;nte,den,Bastard.,8,Critical
13,WP2,no,j,high,Der Gentleman observierte beim Eintreten:,Der,Kneipenwirt,verm&ouml;beln,den,Meisterkoch.,8,Critical
14,WP2,yes,i,high,Der Hochwohlgeborene verbreitete anmutig:,Der,Bauer,checkte,den,Helfer.,8,Critical
15,WP2,no,h,high,Der Offizier verzeichnete im Register:,Der,Staatsdiener,verleumden,den,Werksleiter.,8,Critical
16,WP2,yes,g,high,Der Vorstand bem&auml;ngelte im Protokoll:,Der,Techniker,behelligte,den,Handwerker.,8,Critical
17,WP2,no,j,low,Die G&ouml;re beleierte den Schiri:,Der,Fechter,befehden,den,Gegner.,8,Critical
18,WP2,yes,i,low,Der L&uuml;mmel krakeelte bei seiner Mutter:,Der,Ausbilder,protegierte,den,Springreiter.,8,Critical
19,WP2,no,h,low,Der Schw&auml;tzer palaverte ohne Ende:,Der,Priester,beschwafeln,den,Hausarzt.,8,Critical
20,WP2,yes,g,low,Der P&ouml;bel gr&ouml;lte in den Ga&szlig;en:,Der,Kaiser,h&auml;tschelte,den,Herzog.,8,Critical
1,WP1,yes,c,high,Elegant angezogen spricht Peter:,Ich,binde,gleich,meine,Schuhe.,8,Filler
1,WP1,no,f,low,Sauber zurechtgemacht labert Peter:,Ich,binde,gleich,meine,Klamotten.,8,Filler
3,WP1,no,e,high,Modern ausgerichtet spricht Felix:,Ich,saniere,bald,meine,Ohren.,8,Filler
3,WP1,yes,d,low,Schlampig eingestellt labert Felix.,Ich,saniere,bald,meine,Behausung.,8,Filler
5,WP1,yes,c,high,H&ouml;chst strebsam verlautbart Moritz:,Ich,renoviere,sp&auml;ter,meine,Gem&auml;cher.,8,Filler
5,WP1,no,f,low,Stark unter Dampf tr&ouml;tet Moritz:,Ich,renoviere,sp&auml;ter,meine,P&ouml;tte.,8,Filler
7,WP1,no,e,high,Wohlgemut gesinnt proklamiert Dennis:,Ich,fahre,jetzt,mein,Gem&uuml;se.,8,Filler
7,WP1,yes,d,low,Quietschfidel gelaunt twittert Dennis:,Ich,fahre,jetzt,mein,Stahlross.,8,Filler
9,WP1,yes,c,high,Verm&ouml;gend situiert avisiert Paula:,Ich,verschrotte,bald,meine,Autos.,8,Filler
9,WP1,no,f,low,Massig betucht schwafelt Paula:,Ich,verschrotte,bald,meine,Stelzen.,8,Filler
11,WP1,no,e,high,Dienlich geschult kommentiert Daniel:,Ich,b&uuml;gel,gleich,meine,Pferde.,8,Filler
11,WP1,yes,d,low,Patent trainiert verklickert Daniel:,Ich,b&uuml;gel,gleich,meine,Buxen.,8,Filler
13,WP1,yes,c,high,Au&szlig;erordentlich pr&auml;pariert formuliert Maria:,Ich,schmiere,sp&auml;ter,meine,Butterbrote.,8,Filler
13,WP1,no,f,low,Astrein hergerichtet plappert Maria:,Ich,schmiere,sp&auml;ter,meine,Klauen.,8,Filler
15,WP1,no,e,high,Feinsinnig veranlagt verk&uuml;ndet Robert:,Ich,spare,jetzt,mein,Essen.,8,Filler
15,WP1,yes,d,low,Helle gestrickt t&ouml;nt Robert:,Ich,spare,jetzt,mein,Moos.,8,Filler
17,WP1,yes,c,high,Penibelst disponiert propagiert Tobias:,Ich,putze,gleich,mein,WC.,8,Filler
17,WP1,no,f,low,Pingelig getrimmt schwafelt Tobias:,Ich,putze,gleich,mein,Vieh.,8,Filler
19,WP1,no,e,high,Regsam engagiert renommiert Lukas:,Ich,unterschreibe,jetzt,meinen,Champagner.,8,Filler
19,WP1,yes,d,low,Aktiv mit dabei protzt Lukas:,Ich,unterschreibe,jetzt,meinen,Wisch.,8,Filler
