item,expSet,grammaticallyCorrect,condition,socStat,context,word1,word2,word3,word4,word5,list,stimuli
21,WP2,no,j,high,Der Herold verk&uuml;ndete den Ehrenb&uuml;rgern:,Der,Marktschreier,wurmen,den,Obsth&auml;ndler.,8,Critical
22,WP2,yes,i,high,Der Adlige schilderte eine befremdliche Begebenheit:,Der,Gastwirt,schmierte,den,Winzer.,8,Critical
23,WP2,no,h,high,Der Dirigent raunte w&auml;hrend der Darbietung:,Der,Geiger,stupsen,den,S&auml;nger.,8,Critical
24,WP2,yes,g,high,Die Hausherren priesen die Novit&auml;t:,Der,G&auml;rtner,bet&ouml;rte,den,Pf&ouml;rtner.,8,Critical
25,WP2,no,j,low,Der Laufbursche kritzelte &uuml;ber das Foto:,Der,Kunstreiter,inspizieren,den,Ringk&auml;mpfer.,8,Critical
26,WP2,yes,i,low,Der Handlanger steckte den l&auml;stigen Gaffern:,Der,Rocks&auml;nger,beredete,den,Schlagzeuger.,8,Critical
27,WP2,no,h,low,Die Landratten quatschten mit dem Seeb&auml;ren:,Der,Kapit&auml;n,verkohlen,den,General.,8,Critical
28,WP2,yes,g,low,Die Alten verklickerten dem Knirps:,Der,Bruder,beschwindelte,den,Vetter.,8,Critical
29,WP2,no,j,high,Die Hofdame gestand gegen&uuml;ber der Gouvernante:,Der,Nachtportier,kneifen,den,Landstreicher.,8,Critical
30,WP2,yes,i,high,Der Gesetzesh&uuml;ter protokollierte eine Fehde:,Der,Verbrecher,bem&auml;kelte,den,Kontaktmann.,8,Critical
31,WP2,no,h,high,Der Theaterdirektor pr&auml;zisierte in den Memoiren:,Der,Bengel,karikieren,den,Flegel.,8,Critical
32,WP2,yes,g,high,Der Profe&szlig;orenrat debattierte &uuml;ber den Zwist:,Der,Rektor,fixierte,den,Sch&uuml;ler.,8,Critical
33,WP2,no,j,low,Die Ultras r&ouml;hrten das Happening:,Der,S&auml;ufer,peinigen,den,Rowdy.,8,Critical
34,WP2,yes,i,low,Der Dorfler schnatterte den Knaller:,Der,Raufbold,pr&uuml;gelte,den,H&auml;ftling.,8,Critical
35,WP2,no,h,low,Der Paparazzo faselte die kra&szlig;en News:,Der,Radprofi,piesacken,den,Rennfahrer.,8,Critical
36,WP2,yes,g,low,Die Kammerm&auml;dchen pfuschten auf dem Schmierzettel:,Der,Edelmann,prellte,den,Hofmaler.,8,Critical
37,WP2,no,j,high,Die Beamtin verschriftlichte hinsichtlich des Sachverhalts:,Der,Dekan,verteufeln,den,Kanzler.,8,Critical
38,WP2,yes,i,high,Die Polizeidirektorin avisierte die Rivalit&auml;t:,Der,Gendarm,schnappte,den,R&auml;uber.,8,Critical
39,WP2,no,h,high,Das Konsulat &uuml;berlieferte den Rapport:,Der,Fremdenf&uuml;hrer,bel&uuml;gen,den,Gro&szlig;wildj&auml;ger.,8,Critical
40,WP2,yes,g,high,Die Richter urteilten souver&auml;n:,Der,Barkeeper,r&uuml;gte,den,Weinkenner.,8,Critical
21,WP1,yes,c,high,Fachkundig instruiert signalisiert Florian:,Ich,st&auml;hle,jetzt,meinen,Bauch.,8,Filler
21,WP1,no,f,low,Fix ger&uuml;stet plappert Florian:,Ich,st&auml;hle,jetzt,meinen,K&ouml;ter.,8,Filler
23,WP1,no,e,high,Beflissen arbeitend k&uuml;ndet Lars:,Ich,k&auml;mme,gleich,meine,Flasche.,8,Filler
23,WP1,yes,d,low,Emsig werkelnd labert Lars:,Ich,k&auml;mme,gleich,meine,M&auml;hne.,8,Filler
25,WP1,yes,c,high,Unerh&ouml;rt wohlhabend &auml;u&szlig;ert Heike:,Ich,pedik&uuml;re,bald,meine,F&uuml;&szlig;e.,8,Filler
25,WP1,no,f,low,Mordsm&auml;&szlig;ig betucht brabbelt Heike:,Ich,pedik&uuml;re,bald,meine,Bude.,8,Filler
27,WP1,no,e,high,Meisterlich begabt stimuliert Susanna:,Ich,schneidere,jetzt,meine,Geige.,8,Filler
27,WP1,yes,d,low,Enorm geschickt schnattert Susanna:,Ich,schneidere,jetzt,meine,Fummel.,8,Filler
29,WP1,yes,c,high,Exzessiv arrogant intoniert Annika:,Ich,rauche,bald,meine,Zigarre.,8,Filler
29,WP1,no,f,low,Extrem gro&szlig;kotzig meint Annika:,Ich,rauche,bald,meine,Kneipe.,8,Filler
31,WP1,no,e,high,Grandios geschult prophezeit Klaus:,Ich,feuer,bald,meine,Arznei.,8,Filler
31,WP1,yes,d,low,Spitze gedrillt schnarrt Klaus:,Ich,feuer,bald,meine,Knarre.,8,Filler
33,WP1,yes,c,high,Unermesslich wohlerzogen frohlockt Elisabeth:,Ich,lese,sp&auml;ter,meine,B&uuml;cher.,8,Filler
33,WP1,no,f,low,Ganz doll wacker wiehert Elisabeth:,Ich,lese,sp&auml;ter,meine,Brause.,8,Filler
35,WP1,no,e,high,Effizient autonom deklariert Vera:,Ich,schminke,sp&auml;ter,meine,Lampe.,8,Filler
35,WP1,yes,d,low,Massiv selbst&auml;ndig protzt Vera:,Ich,schminke,sp&auml;ter,meine,Glubscher.,8,Filler
37,WP1,yes,c,high,Achtsam wohlmeinend verbalisiert Norbert:,Ich,wasche,gleich,meine,Finger.,8,Filler
37,WP1,no,f,low,Recht zuvorkommend plauscht Norbert:,Ich,wasche,gleich,meine,Pl&uuml;rre.,8,Filler
39,WP1,no,e,high,Leger verweilend ersinnt Sabine:,Ich,betreibe,jetzt,meine,Hausschuhe.,8,Filler
39,WP1,yes,d,low,L&auml;ssig chillend quasselt Sabine:,Ich,betreibe,jetzt,meine,Absteige.,8,Filler
