item,expSet,grammaticallyCorrect,condition,socStat,context,word1,word2,word3,word4,word5,list,stimuli
21,WP2,no,j,low,Der Gaffer stre&szlig;te das Gesocks:,Der,Marktschreier,reizen,den,Obsth&auml;ndler.,4,Critical
22,WP2,yes,i,low,Der Kerl verzapfte eine gruselige Story:,Der,Gastwirt,korrumpierte,den,Winzer.,4,Critical
23,WP2,no,h,low,Der Fan murmelte w&auml;hrend des Gigs:,Der,Geiger,knuffen,den,S&auml;nger.,4,Critical
24,WP2,yes,g,low,Die Schulm&auml;dchen begiggelten die Sache:,Der,G&auml;rtner,bezirzte,den,Pf&ouml;rtner.,4,Critical
25,WP2,no,j,high,Der Publizist korrespondierte &uuml;ber das E&szlig;ay:,Der,Kunstreiter,beglotzen,den,Ringk&auml;mpfer.,4,Critical
26,WP2,yes,i,high,Der Hotelier verk&uuml;ndigte der vornehmen Gesellschaft:,Der,Rocks&auml;nger,belaberte,den,Schlagzeuger.,4,Critical
27,WP2,no,h,high,Die Wehrm&auml;nner kommunizierten mit dem Admiral:,Der,Kapit&auml;n,veralbern,den,General.,4,Critical
28,WP2,yes,g,high,Die Erziehungsberechtigten erz&auml;hlten dem Nachfahren:,Der,Bruder,hinterging,den,Vetter.,4,Critical
29,WP2,no,j,low,Die Tratschtante petzte bei der Nachbarin:,Der,Nachtportier,zwicken,den,Landstreicher.,4,Critical
30,WP2,yes,i,low,Der Bulle pinselte eine Notiz:,Der,Verbrecher,monierte,den,Kontaktmann.,4,Critical
31,WP2,no,h,low,Die Zuschauer schnackten in der Pause:,Der,Bengel,ver&auml;ppeln,den,Flegel.,4,Critical
32,WP2,yes,g,low,Der Frechdachs qua&szlig;elte &uuml;ber den Zoff:,Der,Rektor,begaffte,den,Sch&uuml;ler.,4,Critical
33,WP2,no,j,high,Die Repr&auml;sentanten verifizierten den Eklat:,Der,S&auml;ufer,mobben,den,Rowdy.,4,Critical
34,WP2,yes,i,high,Der Bevollm&auml;chtigte dokumentierte die Furore:,Der,Raufbold,verhaute,den,H&auml;ftling.,4,Critical
35,WP2,no,h,high,Die Aufsichtsbeh&ouml;rde postulierte die glorreiche Erkenntnis:,Der,Radprofi,martern,den,Rennfahrer.,4,Critical
36,WP2,yes,g,high,Die Geheimdienste offenbarten in der Schriftrolle:,Der,Edelmann,betrog,den,Hofmaler.,4,Critical
37,WP2,no,j,low,Die Sekret&auml;rin klatschte &uuml;ber den Go&szlig;ip:,Der,Dekan,verunglimpfen,den,Kanzler.,4,Critical
38,WP2,yes,i,low,Die Olle postete den Kram:,Der,Gendarm,internierte,den,R&auml;uber.,4,Critical
39,WP2,no,h,low,Die Touris gaben den Wink:,Der,Fremdenf&uuml;hrer,bluffen,den,Gro&szlig;wildj&auml;ger.,4,Critical
40,WP2,yes,g,low,Die Buddies knirschten angefre&szlig;en:,Der,Barkeeper,di&szlig;te,den,Weinkenner.,4,Critical
21,WP1,yes,c,high,Fachkundig instruiert signalisiert Florian:,Ich,st&auml;hle,jetzt,meinen,Bauch.,4,Filler
21,WP1,no,f,low,Fix ger&uuml;stet plappert Florian:,Ich,st&auml;hle,jetzt,meinen,K&ouml;ter.,4,Filler
23,WP1,no,e,high,Beflissen arbeitend k&uuml;ndet Lars:,Ich,k&auml;mme,gleich,meine,Flasche.,4,Filler
23,WP1,yes,d,low,Emsig werkelnd labert Lars:,Ich,k&auml;mme,gleich,meine,M&auml;hne.,4,Filler
25,WP1,yes,c,high,Unerh&ouml;rt wohlhabend &auml;u&szlig;ert Heike:,Ich,pedik&uuml;re,bald,meine,F&uuml;&szlig;e.,4,Filler
25,WP1,no,f,low,Mordsm&auml;&szlig;ig betucht brabbelt Heike:,Ich,pedik&uuml;re,bald,meine,Bude.,4,Filler
27,WP1,no,e,high,Meisterlich begabt stimuliert Susanna:,Ich,schneidere,jetzt,meine,Geige.,4,Filler
27,WP1,yes,d,low,Enorm geschickt schnattert Susanna:,Ich,schneidere,jetzt,meine,Fummel.,4,Filler
29,WP1,yes,c,high,Exzessiv arrogant intoniert Annika:,Ich,rauche,bald,meine,Zigarre.,4,Filler
29,WP1,no,f,low,Extrem gro&szlig;kotzig meint Annika:,Ich,rauche,bald,meine,Kneipe.,4,Filler
31,WP1,no,e,high,Grandios geschult prophezeit Klaus:,Ich,feuer,bald,meine,Arznei.,4,Filler
31,WP1,yes,d,low,Spitze gedrillt schnarrt Klaus:,Ich,feuer,bald,meine,Knarre.,4,Filler
33,WP1,yes,c,high,Unermesslich wohlerzogen frohlockt Elisabeth:,Ich,lese,sp&auml;ter,meine,B&uuml;cher.,4,Filler
33,WP1,no,f,low,Ganz doll wacker wiehert Elisabeth:,Ich,lese,sp&auml;ter,meine,Brause.,4,Filler
35,WP1,no,e,high,Effizient autonom deklariert Vera:,Ich,schminke,sp&auml;ter,meine,Lampe.,4,Filler
35,WP1,yes,d,low,Massiv selbst&auml;ndig protzt Vera:,Ich,schminke,sp&auml;ter,meine,Glubscher.,4,Filler
37,WP1,yes,c,high,Achtsam wohlmeinend verbalisiert Norbert:,Ich,wasche,gleich,meine,Finger.,4,Filler
37,WP1,no,f,low,Recht zuvorkommend plauscht Norbert:,Ich,wasche,gleich,meine,Pl&uuml;rre.,4,Filler
39,WP1,no,e,high,Leger verweilend ersinnt Sabine:,Ich,betreibe,jetzt,meine,Hausschuhe.,4,Filler
39,WP1,yes,d,low,L&auml;ssig chillend quasselt Sabine:,Ich,betreibe,jetzt,meine,Absteige.,4,Filler
