item,expSet,grammaticallyCorrect,condition,socStat,context,word1,word2,word3,word4,word5,list,stimuli
1,WP2,yes,g,low,Der Rau&szlig;chmei&szlig;er blaffte zum Jungen:,Der,Trinker,verpfiff,den,R&uuml;pel.,5,Critical
2,WP2,no,j,high,Der Gef&auml;ngnisvorstand bezeugte in der Anh&ouml;rung:,Der,Skinhead,vertrimmen,den,Str&auml;fling.,5,Critical
3,WP2,yes,i,high,Der Schuldirektor begr&uuml;ndete in dem Verweis:,Der,Sportlehrer,triezte,den,Wettl&auml;ufer.,5,Critical
4,WP2,no,h,high,Der Kulturminister artikulierte im Jahresbericht:,Der,F&ouml;rderer,kosen,den,Bildhauer.,5,Critical
5,WP2,yes,g,high,Der Zeitungsjunge tratschte den neusten Klatsch:,Der,Bischof,tadelte,den,Herrscher.,5,Critical
6,WP2,no,j,low,Der Penner lallte in der Spelunke:,Der,Sheriff,&uuml;berlisten,den,Gauner.,5,Critical
7,WP2,yes,i,low,Der St&uuml;mper pl&auml;rrte in der Spielh&ouml;lle:,Der,Bandenchef,&uuml;bervorteilte,den,Raubm&ouml;rder.,5,Critical
8,WP2,no,h,low,Die Memme beheulte ihren Struggle:,Der,Sporttaucher,fobben,den,Brustschwimmer.,5,Critical
9,WP2,yes,g,low,Der Lausbub patzte ins Tagebuch:,Der,Reiseleiter,beguckte,den,Abenteurer.,5,Critical
10,WP2,no,j,high,Der Regent bekundete edelm&uuml;tig:,Der,Wagenlenker,schmusen,den,Autoschlo&szlig;er.,5,Critical
11,WP2,yes,i,high,Der Kavalier bemerkte in seinem Gefolge:,Der,B&auml;cker,beschaute,den,H&auml;ndler.,5,Critical
12,WP2,no,h,high,Die Gelehrte bedauerte in ihrer Weisheit:,Der,Obdachlose,schm&auml;hen,den,Bastard.,5,Critical
13,WP2,yes,g,high,Der Gentleman observierte beim Eintreten:,Der,Kneipenwirt,ma&szlig;regelte,den,Meisterkoch.,5,Critical
14,WP2,no,j,low,Der Rotzl&ouml;ffel quakte laut:,Der,Bauer,checken,den,Helfer.,5,Critical
15,WP2,yes,i,low,Der Hanswurst krakelte auf dem Block:,Der,Staatsdiener,verleumdete,den,Werksleiter.,5,Critical
16,WP2,no,h,low,Der A&szlig;i schmi&szlig; in die Runde:,Der,Techniker,bep&ouml;beln,den,Handwerker.,5,Critical
17,WP2,yes,g,low,Die G&ouml;re beleierte den Schiri:,Der,Fechter,fightete,den,Gegner.,5,Critical
18,WP2,no,j,high,Der Vorstandsvorsitzende propagierte in der Sitzung:,Der,Ausbilder,sponsern,den,Springreiter.,5,Critical
19,WP2,yes,i,high,Der Hofmeister verlautbarte ohne Piet&auml;t:,Der,Priester,beschwafelte,den,Hausarzt.,5,Critical
20,WP2,no,h,high,Der Landesherr verewigte auf dem Pergament:,Der,Kaiser,verw&ouml;hnen,den,Herzog.,5,Critical
1,WP1,yes,c,high,Elegant angezogen spricht Peter:,Ich,binde,gleich,meine,Schuhe.,5,Filler
1,WP1,no,f,low,Sauber zurechtgemacht labert Peter:,Ich,binde,gleich,meine,Klamotten.,5,Filler
3,WP1,no,e,high,Modern ausgerichtet spricht Felix:,Ich,saniere,bald,meine,Ohren.,5,Filler
3,WP1,yes,d,low,Schlampig eingestellt labert Felix.,Ich,saniere,bald,meine,Behausung.,5,Filler
5,WP1,yes,c,high,H&ouml;chst strebsam verlautbart Moritz:,Ich,renoviere,sp&auml;ter,meine,Gem&auml;cher.,5,Filler
5,WP1,no,f,low,Stark unter Dampf tr&ouml;tet Moritz:,Ich,renoviere,sp&auml;ter,meine,P&ouml;tte.,5,Filler
7,WP1,no,e,high,Wohlgemut gesinnt proklamiert Dennis:,Ich,fahre,jetzt,mein,Gem&uuml;se.,5,Filler
7,WP1,yes,d,low,Quietschfidel gelaunt twittert Dennis:,Ich,fahre,jetzt,mein,Stahlross.,5,Filler
9,WP1,yes,c,high,Verm&ouml;gend situiert avisiert Paula:,Ich,verschrotte,bald,meine,Autos.,5,Filler
9,WP1,no,f,low,Massig betucht schwafelt Paula:,Ich,verschrotte,bald,meine,Stelzen.,5,Filler
11,WP1,no,e,high,Dienlich geschult kommentiert Daniel:,Ich,b&uuml;gel,gleich,meine,Pferde.,5,Filler
11,WP1,yes,d,low,Patent trainiert verklickert Daniel:,Ich,b&uuml;gel,gleich,meine,Buxen.,5,Filler
13,WP1,yes,c,high,Au&szlig;erordentlich pr&auml;pariert formuliert Maria:,Ich,schmiere,sp&auml;ter,meine,Butterbrote.,5,Filler
13,WP1,no,f,low,Astrein hergerichtet plappert Maria:,Ich,schmiere,sp&auml;ter,meine,Klauen.,5,Filler
15,WP1,no,e,high,Feinsinnig veranlagt verk&uuml;ndet Robert:,Ich,spare,jetzt,mein,Essen.,5,Filler
15,WP1,yes,d,low,Helle gestrickt t&ouml;nt Robert:,Ich,spare,jetzt,mein,Moos.,5,Filler
17,WP1,yes,c,high,Penibelst disponiert propagiert Tobias:,Ich,putze,gleich,mein,WC.,5,Filler
17,WP1,no,f,low,Pingelig getrimmt schwafelt Tobias:,Ich,putze,gleich,mein,Vieh.,5,Filler
19,WP1,no,e,high,Regsam engagiert renommiert Lukas:,Ich,unterschreibe,jetzt,meinen,Champagner.,5,Filler
19,WP1,yes,d,low,Aktiv mit dabei protzt Lukas:,Ich,unterschreibe,jetzt,meinen,Wisch.,5,Filler
