item,expSet,grammaticallyCorrect,condition,socStat,context,word1,word2,word3,word4,word5,list,stimuli
21,WP2,no,h,high,Der Herold verk&uuml;ndete den Ehrenb&uuml;rgern:,Der,Marktschreier,reizen,den,Obsth&auml;ndler.,6,Critical
22,WP2,yes,g,high,Der Adlige schilderte eine befremdliche Begebenheit:,Der,Gastwirt,korrumpierte,den,Winzer.,6,Critical
23,WP2,no,j,low,Der Fan murmelte w&auml;hrend des Gigs:,Der,Geiger,stupsen,den,S&auml;nger.,6,Critical
24,WP2,yes,i,low,Die Schulm&auml;dchen begiggelten die Sache:,Der,G&auml;rtner,bet&ouml;rte,den,Pf&ouml;rtner.,6,Critical
25,WP2,no,h,low,Der Laufbursche kritzelte &uuml;ber das Foto:,Der,Kunstreiter,beglotzen,den,Ringk&auml;mpfer.,6,Critical
26,WP2,yes,g,low,Der Handlanger steckte den l&auml;stigen Gaffern:,Der,Rocks&auml;nger,belaberte,den,Schlagzeuger.,6,Critical
27,WP2,no,j,high,Die Wehrm&auml;nner kommunizierten mit dem Admiral:,Der,Kapit&auml;n,verkohlen,den,General.,6,Critical
28,WP2,yes,i,high,Die Erziehungsberechtigten erz&auml;hlten dem Nachfahren:,Der,Bruder,beschwindelte,den,Vetter.,6,Critical
29,WP2,no,h,high,Die Hofdame gestand gegen&uuml;ber der Gouvernante:,Der,Nachtportier,zwicken,den,Landstreicher.,6,Critical
30,WP2,yes,g,high,Der Gesetzesh&uuml;ter protokollierte eine Fehde:,Der,Verbrecher,monierte,den,Kontaktmann.,6,Critical
31,WP2,no,j,low,Die Zuschauer schnackten in der Pause:,Der,Bengel,karikieren,den,Flegel.,6,Critical
32,WP2,yes,i,low,Der Frechdachs qua&szlig;elte &uuml;ber den Zoff:,Der,Rektor,fixierte,den,Sch&uuml;ler.,6,Critical
33,WP2,no,h,low,Die Ultras r&ouml;hrten das Happening:,Der,S&auml;ufer,mobben,den,Rowdy.,6,Critical
34,WP2,yes,g,low,Der Dorfler schnatterte den Knaller:,Der,Raufbold,verhaute,den,H&auml;ftling.,6,Critical
35,WP2,no,j,high,Die Aufsichtsbeh&ouml;rde postulierte die glorreiche Erkenntnis:,Der,Radprofi,piesacken,den,Rennfahrer.,6,Critical
36,WP2,yes,i,high,Die Geheimdienste offenbarten in der Schriftrolle:,Der,Edelmann,prellte,den,Hofmaler.,6,Critical
37,WP2,no,h,high,Die Beamtin verschriftlichte hinsichtlich des Sachverhalts:,Der,Dekan,verunglimpfen,den,Kanzler.,6,Critical
38,WP2,yes,g,high,Die Polizeidirektorin avisierte die Rivalit&auml;t:,Der,Gendarm,internierte,den,R&auml;uber.,6,Critical
39,WP2,no,j,low,Die Touris gaben den Wink:,Der,Fremdenf&uuml;hrer,bel&uuml;gen,den,Gro&szlig;wildj&auml;ger.,6,Critical
40,WP2,yes,i,low,Die Buddies knirschten angefre&szlig;en:,Der,Barkeeper,r&uuml;gte,den,Weinkenner.,6,Critical
21,WP1,yes,c,high,Fachkundig instruiert signalisiert Florian:,Ich,st&auml;hle,jetzt,meinen,Bauch.,6,Filler
21,WP1,no,f,low,Fix ger&uuml;stet plappert Florian:,Ich,st&auml;hle,jetzt,meinen,K&ouml;ter.,6,Filler
23,WP1,no,e,high,Beflissen arbeitend k&uuml;ndet Lars:,Ich,k&auml;mme,gleich,meine,Flasche.,6,Filler
23,WP1,yes,d,low,Emsig werkelnd labert Lars:,Ich,k&auml;mme,gleich,meine,M&auml;hne.,6,Filler
25,WP1,yes,c,high,Unerh&ouml;rt wohlhabend &auml;u&szlig;ert Heike:,Ich,pedik&uuml;re,bald,meine,F&uuml;&szlig;e.,6,Filler
25,WP1,no,f,low,Mordsm&auml;&szlig;ig betucht brabbelt Heike:,Ich,pedik&uuml;re,bald,meine,Bude.,6,Filler
27,WP1,no,e,high,Meisterlich begabt stimuliert Susanna:,Ich,schneidere,jetzt,meine,Geige.,6,Filler
27,WP1,yes,d,low,Enorm geschickt schnattert Susanna:,Ich,schneidere,jetzt,meine,Fummel.,6,Filler
29,WP1,yes,c,high,Exzessiv arrogant intoniert Annika:,Ich,rauche,bald,meine,Zigarre.,6,Filler
29,WP1,no,f,low,Extrem gro&szlig;kotzig meint Annika:,Ich,rauche,bald,meine,Kneipe.,6,Filler
31,WP1,no,e,high,Grandios geschult prophezeit Klaus:,Ich,feuer,bald,meine,Arznei.,6,Filler
31,WP1,yes,d,low,Spitze gedrillt schnarrt Klaus:,Ich,feuer,bald,meine,Knarre.,6,Filler
33,WP1,yes,c,high,Unermesslich wohlerzogen frohlockt Elisabeth:,Ich,lese,sp&auml;ter,meine,B&uuml;cher.,6,Filler
33,WP1,no,f,low,Ganz doll wacker wiehert Elisabeth:,Ich,lese,sp&auml;ter,meine,Brause.,6,Filler
35,WP1,no,e,high,Effizient autonom deklariert Vera:,Ich,schminke,sp&auml;ter,meine,Lampe.,6,Filler
35,WP1,yes,d,low,Massiv selbst&auml;ndig protzt Vera:,Ich,schminke,sp&auml;ter,meine,Glubscher.,6,Filler
37,WP1,yes,c,high,Achtsam wohlmeinend verbalisiert Norbert:,Ich,wasche,gleich,meine,Finger.,6,Filler
37,WP1,no,f,low,Recht zuvorkommend plauscht Norbert:,Ich,wasche,gleich,meine,Pl&uuml;rre.,6,Filler
39,WP1,no,e,high,Leger verweilend ersinnt Sabine:,Ich,betreibe,jetzt,meine,Hausschuhe.,6,Filler
39,WP1,yes,d,low,L&auml;ssig chillend quasselt Sabine:,Ich,betreibe,jetzt,meine,Absteige.,6,Filler
