item,expSet,grammaticallyCorrect,condition,socStat,context,word1,word2,word3,word4,word5,list,stimuli
21,WP2,yes,i,low,Der Gaffer stre&szlig;te das Gesocks:,Der,Marktschreier,reizte,den,Obsth&auml;ndler.,3,Critical
22,WP2,no,h,low,Der Kerl verzapfte eine gruselige Story:,Der,Gastwirt,schmieren,den,Winzer.,3,Critical
23,WP2,yes,g,low,Der Fan murmelte w&auml;hrend des Gigs:,Der,Geiger,knuffte,den,S&auml;nger.,3,Critical
24,WP2,no,j,high,Die Hausherren priesen die Novit&auml;t:,Der,G&auml;rtner,bezirzen,den,Pf&ouml;rtner.,3,Critical
25,WP2,yes,i,high,Der Publizist korrespondierte &uuml;ber das E&szlig;ay:,Der,Kunstreiter,beglotzte,den,Ringk&auml;mpfer.,3,Critical
26,WP2,no,h,high,Der Hotelier verk&uuml;ndigte der vornehmen Gesellschaft:,Der,Rocks&auml;nger,bereden,den,Schlagzeuger.,3,Critical
27,WP2,yes,g,high,Die Wehrm&auml;nner kommunizierten mit dem Admiral:,Der,Kapit&auml;n,veralberte,den,General.,3,Critical
28,WP2,no,j,low,Die Alten verklickerten dem Knirps:,Der,Bruder,hintergehen,den,Vetter.,3,Critical
29,WP2,yes,i,low,Die Tratschtante petzte bei der Nachbarin:,Der,Nachtportier,zwickte,den,Landstreicher.,3,Critical
30,WP2,no,h,low,Der Bulle pinselte eine Notiz:,Der,Verbrecher,bem&auml;keln,den,Kontaktmann.,3,Critical
31,WP2,yes,g,low,Die Zuschauer schnackten in der Pause:,Der,Bengel,ver&auml;ppelte,den,Flegel.,3,Critical
32,WP2,no,j,high,Der Profe&szlig;orenrat debattierte &uuml;ber den Zwist:,Der,Rektor,begaffen,den,Sch&uuml;ler.,3,Critical
33,WP2,yes,i,high,Die Repr&auml;sentanten verifizierten den Eklat:,Der,S&auml;ufer,mobbte,den,Rowdy.,3,Critical
34,WP2,no,h,high,Der Bevollm&auml;chtigte dokumentierte die Furore:,Der,Raufbold,pr&uuml;geln,den,H&auml;ftling.,3,Critical
35,WP2,yes,g,high,Die Aufsichtsbeh&ouml;rde postulierte die glorreiche Erkenntnis:,Der,Radprofi,marterte,den,Rennfahrer.,3,Critical
36,WP2,no,j,low,Die Kammerm&auml;dchen pfuschten auf dem Schmierzettel:,Der,Edelmann,betr&uuml;gen,den,Hofmaler.,3,Critical
37,WP2,yes,i,low,Die Sekret&auml;rin klatschte &uuml;ber den Go&szlig;ip:,Der,Dekan,verunglimpfte,den,Kanzler.,3,Critical
38,WP2,no,h,low,Die Olle postete den Kram:,Der,Gendarm,schnappen,den,R&auml;uber.,3,Critical
39,WP2,yes,g,low,Die Touris gaben den Wink:,Der,Fremdenf&uuml;hrer,bluffte,den,Gro&szlig;wildj&auml;ger.,3,Critical
40,WP2,no,j,high,Die Richter urteilten souver&auml;n:,Der,Barkeeper,di&szlig;en,den,Weinkenner.,3,Critical
21,WP1,yes,c,high,Fachkundig instruiert signalisiert Florian:,Ich,st&auml;hle,jetzt,meinen,Bauch.,3,Filler
21,WP1,no,f,low,Fix ger&uuml;stet plappert Florian:,Ich,st&auml;hle,jetzt,meinen,K&ouml;ter.,3,Filler
23,WP1,no,e,high,Beflissen arbeitend k&uuml;ndet Lars:,Ich,k&auml;mme,gleich,meine,Flasche.,3,Filler
23,WP1,yes,d,low,Emsig werkelnd labert Lars:,Ich,k&auml;mme,gleich,meine,M&auml;hne.,3,Filler
25,WP1,yes,c,high,Unerh&ouml;rt wohlhabend &auml;u&szlig;ert Heike:,Ich,pedik&uuml;re,bald,meine,F&uuml;&szlig;e.,3,Filler
25,WP1,no,f,low,Mordsm&auml;&szlig;ig betucht brabbelt Heike:,Ich,pedik&uuml;re,bald,meine,Bude.,3,Filler
27,WP1,no,e,high,Meisterlich begabt stimuliert Susanna:,Ich,schneidere,jetzt,meine,Geige.,3,Filler
27,WP1,yes,d,low,Enorm geschickt schnattert Susanna:,Ich,schneidere,jetzt,meine,Fummel.,3,Filler
29,WP1,yes,c,high,Exzessiv arrogant intoniert Annika:,Ich,rauche,bald,meine,Zigarre.,3,Filler
29,WP1,no,f,low,Extrem gro&szlig;kotzig meint Annika:,Ich,rauche,bald,meine,Kneipe.,3,Filler
31,WP1,no,e,high,Grandios geschult prophezeit Klaus:,Ich,feuer,bald,meine,Arznei.,3,Filler
31,WP1,yes,d,low,Spitze gedrillt schnarrt Klaus:,Ich,feuer,bald,meine,Knarre.,3,Filler
33,WP1,yes,c,high,Unermesslich wohlerzogen frohlockt Elisabeth:,Ich,lese,sp&auml;ter,meine,B&uuml;cher.,3,Filler
33,WP1,no,f,low,Ganz doll wacker wiehert Elisabeth:,Ich,lese,sp&auml;ter,meine,Brause.,3,Filler
35,WP1,no,e,high,Effizient autonom deklariert Vera:,Ich,schminke,sp&auml;ter,meine,Lampe.,3,Filler
35,WP1,yes,d,low,Massiv selbst&auml;ndig protzt Vera:,Ich,schminke,sp&auml;ter,meine,Glubscher.,3,Filler
37,WP1,yes,c,high,Achtsam wohlmeinend verbalisiert Norbert:,Ich,wasche,gleich,meine,Finger.,3,Filler
37,WP1,no,f,low,Recht zuvorkommend plauscht Norbert:,Ich,wasche,gleich,meine,Pl&uuml;rre.,3,Filler
39,WP1,no,e,high,Leger verweilend ersinnt Sabine:,Ich,betreibe,jetzt,meine,Hausschuhe.,3,Filler
39,WP1,yes,d,low,L&auml;ssig chillend quasselt Sabine:,Ich,betreibe,jetzt,meine,Absteige.,3,Filler
